year;province_name;regency_name;poverty_amount;poverty_percentage;unemployed_percentage;uneducated_percentage
2023;Kalimantan Tengah;Kotawaringin Barat;13440;4,18;41,83;71,92
2023;Kalimantan Tengah;Kotawaringin Timur;26570;5,69;47,44;85,01
2023;Kalimantan Tengah;Kapuas;19190;5,21;41,73;82,7
2023;Kalimantan Tengah;Barito Selatan;6660;4,72;61,33;66,8
2023;Kalimantan Tengah;Barito Utara;7140;5,35;48,4;66,7
2023;Kalimantan Tengah;Sukamara;2710;3,96;38,42;85,97
2023;Kalimantan Tengah;Lamandau;2630;3,12;43,57;78,9
2023;Kalimantan Tengah;Seruyan;15710;7,12;42,23;85,51
2023;Kalimantan Tengah;Katingan;8950;4,99;46,67;76,43
2023;Kalimantan Tengah;Pulang Pisau;5920;4,58;41,15;77,87
2023;Kalimantan Tengah;Gunung Mas;6550;5,47;35,52;76,41
2023;Kalimantan Tengah;Barito Timur;8590;6,63;51,35;72,26
2023;Kalimantan Tengah;Murung Raya;7810;6,44;48,46;92,97
2023;Kalimantan Tengah;Palangka Raya;10310;3,44;51,77;72,7
2023;Kalimantan Selatan;Tanah Laut;13220;3,73;49,05;79,34
2023;Kalimantan Selatan;Kota Baru;15320;4,32;68,74;94,06
2023;Kalimantan Selatan;Banjar;14770;2,44;46,94;83,6
2023;Kalimantan Selatan;Barito Kuala;14710;4,6;46,57;88,11
2023;Kalimantan Selatan;Tapin;6220;3,19;47,6;95,51
2023;Kalimantan Selatan;Hulu Sungai Selatan;9610;4,01;30,24;84,84
2023;Kalimantan Selatan;Hulu Sungai Tengah;16010;5,84;40,99;78,3
2023;Kalimantan Selatan;Hulu Sungai Utara;15020;6,25;47,2;82,03
2023;Kalimantan Selatan;Tabalong;15150;5,77;36,95;77,65
2023;Kalimantan Selatan;Tanah Bumbu;17170;4,12;41,72;64,34
2023;Kalimantan Selatan;Balangan;7070;5,22;27,62;86,38
2023;Kalimantan Selatan;Banjarmasin;33470;4,63;47,31;80,6
2023;Kalimantan Selatan;Banjar Baru;11180;3,92;43,91;91,54
2023;Kalimantan Timur;Paser;26390;9,11;51,53;57,22
2023;Kalimantan Timur;Kutai Barat;14690;9,72;49,46;74,77
2023;Kalimantan Timur;Kutai Kartanegara;60860;7,61;52,06;72,21
2023;Kalimantan Timur;Kutai Timur;37040;9,06;44,1;69,77
2023;Kalimantan Timur;Berau;13260;5,54;40,95;73,73
2023;Kalimantan Timur;Penajam Paser Utara;11190;6,97;41,77;72,17
2023;Kalimantan Timur;Mahakam Hulu;3060;11,38;34,43;76,08
2023;Kalimantan Timur;Balikpapan;14990;2,31;46,53;62,09
2023;Kalimantan Timur;Samarinda;41890;4,81;50,97;52,78
2023;Kalimantan Timur;Bontang;7710;4,11;38,5;62,74
2023;Kalimantan Utara;Malinau;5950;6,54;37,89;81,67
2023;Kalimantan Utara;Bulungan;12190;8,99;37,48;76,18
2023;Kalimantan Utara;Tana Tidung;1470;4,62;49,54;91,49
2023;Kalimantan Utara;Nunukan;11880;5,53;46,89;84,79
2023;Kalimantan Utara;Tarakan;16490;6,1;50,44;78,1
2023;Sulawesi Utara;Bolaang Mongondow;19020;7,37;50,96;68,88
2023;Sulawesi Utara;Minahasa;23860;6,87;59,12;48,56
2023;Sulawesi Utara;Kepulauan Sangihe;14600;11,01;48,12;66,1
2023;Sulawesi Utara;Kepulauan Talaud;7970;8,46;46,92;66,07
2023;Sulawesi Utara;Minahasa Selatan;18900;8,89;53,93;56,2
2023;Sulawesi Utara;Minahasa Utara;13660;6,65;55,34;75,68
2023;Sulawesi Utara;Bolaang Mongondow Utara;6560;7,9;39,03;82,65
2023;Sulawesi Utara;Siau Tagulandang Biaro;5920;8,76;53,93;73,87
2023;Sulawesi Utara;Minahasa Tenggara;12700;11,84;44,02;78,9
2023;Sulawesi Utara;Bolaang Mongondow Selatan;8280;12,04;55,82;79,4
2023;Sulawesi Utara;Bolaang Mongondow Timur;4320;5,8;50,46;73,54
2023;Sulawesi Utara;Manado;25170;5,79;51,47;63,81
2023;Sulawesi Utara;Bitung;15000;6,56;55,2;76,05
2023;Sulawesi Utara;Tomohon;6240;5,6;55,19;57,4
2023;Sulawesi Utara;Kotamobagu;6820;5,03;38,61;78
2023;Sulawesi Tengah;Banggai Kepulauan;15500;12,9;34,89;86,11
2023;Sulawesi Tengah;Banggai;27380;6,94;45,58;74,6
2023;Sulawesi Tengah;Morowali;15750;12,31;54,23;84,26
2023;Sulawesi Tengah;Poso;41480;15,16;44,01;68,15
2023;Sulawesi Tengah;Donggala;50370;16,25;43,81;81,23
2023;Sulawesi Tengah;Toli-Toli;31130;12,85;47,16;70,8
2023;Sulawesi Tengah;Buol;23130;13,36;51,44;78,34
2023;Sulawesi Tengah;Parigi Moutong;77180;14,91;39,69;87,95
2023;Sulawesi Tengah;Tojo Una-Una;26510;16,74;35,24;77,65
2023;Sulawesi Tengah;Sigi;31470;12,83;34,32;85,13
2023;Sulawesi Tengah;Banggai Laut;11271;14,15;58,65;73,74
2023;Sulawesi Tengah;Morowali Utara;17663;12,85;51,09;82,71
2023;Sulawesi Tengah;Palu;26830;6,56;52,13;70,12
2023;Sulawesi Selatan;Kepulauan Selayar;16890;12,27;44,92;73,8
2023;Sulawesi Selatan;Bulukumba;30650;7,22;47,47;73,74
2023;Sulawesi Selatan;Bantaeng;17490;9,18;38,54;82,13
2023;Sulawesi Selatan;Jeneponto;48320;13,06;39,7;70,06
2023;Sulawesi Selatan;Takalar;25010;8,29;62,57;76,44
2023;Sulawesi Selatan;Gowa;59100;7,42;49,99;77,25
2023;Sulawesi Selatan;Sinjai;21140;8,55;51,57;75,48
2023;Sulawesi Selatan;Maros;34960;9,65;46,88;73,74
